Date,Time,Open,Close,High,Low,Volume,Amount
20240308,2024.03.08T14:50:00.000,9.240000,9.240000,9.240000,9.230000,774900.000000,7154243.000000
20240308,2024.03.08T14:51:00.000,9.240000,9.220000,9.240000,9.220000,1089600.000000,10058754.000000
20240308,2024.03.08T15:00:00.000,9.230000,9.230000,9.230000,9.230000,2768238.000000,25550837.000000
20240311,2024.03.11T14:50:00.000,9.330000,9.330000,9.340000,9.330000,736800.000000,6875080.000000
20240311,2024.03.11T14:51:00.000,9.330000,9.320000,9.330000,9.320000,1158062.000000,10803436.000000
20240311,2024.03.11T15:00:00.000,9.340000,9.340000,9.340000,9.340000,2829138.000000,26424149.000000
20240312,2024.03.12T14:50:00.000,9.200000,9.200000,9.210000,9.200000,327300.000000,3011909.000000
20240312,2024.03.12T14:51:00.000,9.200000,9.200000,9.210000,9.200000,562700.000000,5178600.000000
20240312,2024.03.12T15:00:00.000,9.210000,9.210000,9.210000,9.210000,1280900.000000,11797089.000000
20240313,2024.03.13T14:50:00.000,9.310000,9.300000,9.310000,9.300000,400100.000000,3723040.000000
20240313,2024.03.13T14:51:00.000,9.310000,9.310000,9.310000,9.300000,643900.000000,5993645.000000
20240313,2024.03.13T15:00:00.000,9.310000,9.310000,9.310000,9.310000,1021850.000000,9513424.000000
20240314,2024.03.14T14:50:00.000,9.110000,9.100000,9.110000,9.100000,416300.000000,3789185.000000
20240314,2024.03.14T14:51:00.000,9.100000,9.090000,9.100000,9.090000,443600.000000,4033810.000000
20240314,2024.03.14T15:00:00.000,9.100000,9.100000,9.100000,9.100000,1521840.000000,13848744.000000
20240315,2024.03.15T14:50:00.000,9.120000,9.120000,9.130000,9.110000,1467000.000000,13380912.000000
20240315,2024.03.15T14:51:00.000,9.130000,9.130000,9.140000,9.120000,1269700.000000,11593434.000000
20240315,2024.03.15T15:00:00.000,9.140000,9.140000,9.140000,9.140000,2461800.000000,22500852.000000
20240318,2024.03.18T14:50:00.000,9.360000,9.370000,9.370000,9.360000,1202100.000000,11256749.000000
20240318,2024.03.18T14:51:00.000,9.360000,9.380000,9.390000,9.360000,3781600.000000,35472527.000000
20240318,2024.03.18T15:00:00.000,9.440000,9.440000,9.440000,9.440000,3563850.000000,33642744.000000
20240319,2024.03.19T14:50:00.000,9.270000,9.270000,9.280000,9.270000,544300.000000,5046647.000000
20240319,2024.03.19T14:51:00.000,9.280000,9.270000,9.280000,9.260000,807000.000000,7476873.000000
20240319,2024.03.19T15:00:00.000,9.250000,9.250000,9.250000,9.250000,1304309.000000,12064859.000000
20240320,2024.03.20T14:50:00.000,9.470000,9.460000,9.470000,9.460000,691100.000000,6542426.000000
20240320,2024.03.20T14:51:00.000,9.470000,9.470000,9.470000,9.460000,621100.000000,5879738.000000
20240320,2024.03.20T15:00:00.000,9.450000,9.450000,9.450000,9.450000,1676550.000000,15843398.000000
20240321,2024.03.21T14:50:00.000,9.380000,9.390000,9.390000,9.370000,1186000.000000,11127175.000000
20240321,2024.03.21T14:51:00.000,9.380000,9.400000,9.400000,9.380000,527600.000000,4954103.000000
20240321,2024.03.21T15:00:00.000,9.390000,9.390000,9.390000,9.390000,1543200.000000,14490648.000000
20240322,2024.03.22T14:50:00.000,9.260000,9.260000,9.270000,9.250000,572300.000000,5300582.000000
20240322,2024.03.22T14:51:00.000,9.250000,9.250000,9.250000,9.240000,711900.000000,6583133.000000
20240322,2024.03.22T15:00:00.000,9.220000,9.220000,9.220000,9.220000,1108008.000000,10215834.000000
20240325,2024.03.25T14:50:00.000,9.350000,9.350000,9.360000,9.340000,742900.000000,6943147.000000
20240325,2024.03.25T14:51:00.000,9.350000,9.350000,9.350000,9.350000,696600.000000,6512969.000000
20240325,2024.03.25T15:00:00.000,9.350000,9.350000,9.350000,9.350000,2157000.000000,20167950.000000
20240326,2024.03.26T14:50:00.000,8.920000,8.910000,8.920000,8.910000,582207.000000,5190078.000000
20240326,2024.03.26T14:51:00.000,8.920000,8.920000,8.920000,8.910000,559600.000000,4988174.000000
20240326,2024.03.26T15:00:00.000,8.910000,8.910000,8.910000,8.910000,1415000.000000,12607650.000000
20240327,2024.03.27T14:50:00.000,8.390000,8.370000,8.390000,8.370000,714300.000000,5984928.000000
20240327,2024.03.27T14:51:00.000,8.370000,8.360000,8.370000,8.350000,1154800.000000,9655524.000000
20240327,2024.03.27T15:00:00.000,8.310000,8.310000,8.310000,8.310000,2534800.000000,21064188.000000
20240328,2024.03.28T14:50:00.000,8.810000,8.810000,8.810000,8.800000,288600.000000,2540931.000000
20240328,2024.03.28T14:51:00.000,8.810000,8.820000,8.820000,8.800000,513895.000000,4527028.000000
20240328,2024.03.28T15:00:00.000,8.850000,8.850000,8.850000,8.850000,1672200.000000,14798970.000000
20240329,2024.03.29T14:50:00.000,8.690000,8.690000,8.690000,8.680000,587400.000000,5101829.000000
